"UTLA20CD","UTLA20NM","LSOA11CD","LSOA11NM","NOMIS Code"
"E06000058","Bournemouth, Christchurch and Poole","E01015290","Bournemouth 021D",1249917424
"E06000058","Bournemouth, Christchurch and Poole","E01015387","Poole 009B",1249917520
"E06000058","Bournemouth, Christchurch and Poole","E01015291","Bournemouth 021E",1249917425
"E06000058","Bournemouth, Christchurch and Poole","E01015388","Poole 009C",1249917521
"E06000058","Bournemouth, Christchurch and Poole","E01015292","Bournemouth 015A",1249917426
"E06000058","Bournemouth, Christchurch and Poole","E01015389","Poole 009D",1249917522
"E06000058","Bournemouth, Christchurch and Poole","E01015293","Bournemouth 015B",1249917427
"E06000058","Bournemouth, Christchurch and Poole","E01015390","Poole 010A",1249917523
"E06000058","Bournemouth, Christchurch and Poole","E01015294","Bournemouth 015C",1249917428
"E06000058","Bournemouth, Christchurch and Poole","E01015295","Bournemouth 020A",1249917429
"E06000058","Bournemouth, Christchurch and Poole","E01015296","Bournemouth 020B",1249917430
"E06000058","Bournemouth, Christchurch and Poole","E01015297","Bournemouth 018B",1249917431
"E06000058","Bournemouth, Christchurch and Poole","E01015298","Bournemouth 020C",1249917432
